username,email,password,first_name,last_name,subject,assigned_class_ids
teacher.allemand.1,teacher.allemand.1@school.test,pSsOLJIjECGWmw,Chantal,Mensah,Allemand,23;11;7
teacher.allemand.2,teacher.allemand.2@gmail.com,W3PQu_8GBPrSPQ,Jean,Akakpo,Allemand,14;29;24
teacher.allemand.3,teacher.allemand.3@gmail.com,c6j0q5knpUsAbw,Franck,Dossou,Allemand,32;13
teacher.allemand.4,teacher.allemand.4@example.com,wm4T7eNnxkJcmQ,Fabrice,Soglo,Allemand,21
teacher.allemand.5,teacher.allemand.5@gmail.com,6Rtati8qNkDZaQ,Landry,Agossa,Allemand,31
teacher.allemand.6,teacher.allemand.6@school.test,CfilPwU-BywFJA,Brigitte,Mensah,Allemand,22
teacher.allemand.7,teacher.allemand.7@example.com,E_kouuXTxLUvCw,Kokou,Adjovi,Allemand,
teacher.allemand.8,teacher.allemand.8@school.test,bOApBt2L7LB-Qw,Adéla,Mabiala,Allemand,
teacher.allemand.9,teacher.allemand.9@gmail.com,x97BpJYqi_Z4Xw,Richard,Agossa,Allemand,
teacher.allemand.10,teacher.allemand.10@yahoo.com,r_vVNsYv5AzxcA,Aïcha,Houngbédji,Allemand,
teacher.allemand.11,teacher.allemand.11@example.com,lHqVsJQjqEiqIA,Landry,N'diaye,Allemand,
teacher.allemand.12,teacher.allemand.12@school.test,lVNZrO8RmFQgXw,Samson,Mabiala,Allemand,
teacher.allemand.13,teacher.allemand.13@yahoo.com,28Hv_CdqT7tY6A,Kokou,Ahouansou,Allemand,
teacher.allemand.14,teacher.allemand.14@example.com,8P04WJvuaCUbPA,Olivia,Diallo,Allemand,
teacher.allemand.15,teacher.allemand.15@example.com,2VyE0Et9Yc_Nww,Assétou,Ahouansou,Allemand,
teacher.anglais.1,teacher.anglais.1@gmail.com,x79txLzvWod7kw,Aïcha,Dah,Anglais,6;35
teacher.anglais.2,teacher.anglais.2@gmail.com,fo3d8FtCIcJR4Q,Koffi,Yabi,Anglais,1;16;28
teacher.anglais.3,teacher.anglais.3@school.test,FdqombyKcB7NMg,Aïcha,Adjovi,Anglais,4;9;2
teacher.anglais.4,teacher.anglais.4@gmail.com,qGn711M_yEG02g,Franck,N'diaye,Anglais,5;15
teacher.anglais.5,teacher.anglais.5@school.test,OULH0FsiHovRkA,Romaric,Dah,Anglais,3;31
teacher.anglais.6,teacher.anglais.6@school.test,b2RlLUFNoTT0Mw,Rachid,Koutché,Anglais,18;12;25
teacher.anglais.7,teacher.anglais.7@school.test,gNXRMBw276V3EA,Wilfried,Koutché,Anglais,22;19;10
teacher.anglais.8,teacher.anglais.8@example.com,TwedYTA51XGn_g,Kossi,N'diaye,Anglais,23
teacher.anglais.9,teacher.anglais.9@school.test,ebtOKJukrxG5RQ,Stéphane,Kpodar,Anglais,24;13
teacher.anglais.10,teacher.anglais.10@example.com,xqCTcdMh88Hshw,Romaric,Ouedraogo,Anglais,27;29
teacher.anglais.11,teacher.anglais.11@yahoo.com,fE46LZx1QARPTQ,Samson,Akakpo,Anglais,36;33;26
teacher.anglais.12,teacher.anglais.12@yahoo.com,P4coi3So8YvFMw,Sita,Anago,Anglais,30;7
teacher.anglais.13,teacher.anglais.13@yahoo.com,9xiz_rAb_BxDIg,Issa,N'diaye,Anglais,32
teacher.anglais.14,teacher.anglais.14@example.com,VQEiG7lG6TnmTQ,Saliou,Anago,Anglais,11;14;20
teacher.anglais.15,teacher.anglais.15@example.com,X3DfhlBSXrOpZw,Adéla,Anago,Anglais,8;21;17
teacher.ecofam.1,teacher.ecofam.1@gmail.com,KEOmwqWlba_6og,Grace,Traoré,EcoFam,
