username,email,password,role
director1,director@gmail.com,Test123456,user
prisca.nwankwo,prisca.nwankwo@gmail.com,Test123456,user
essi.kouyaté,essi.kouyaté@school.test,Test123456,user
isabelle.kouame,isabelle.kouame@example.com,Test123456,user
tatiana.coumba,tatiana.coumba@example.com,Test123456,user
irène.tchao,irène.tchao@yahoo.com,Test123456,user
yannick.yao,yannick.yao@school.test,Test123456,user
nourou.assogba,nourou.assogba@gmail.com,Test123456,user
roméo.ola,roméo.ola@gmail.com,Test123456,user
nadine.mabiala,nadine.mabiala@yahoo.com,Test123456,user
prisca.ndiaye,prisca.ndiaye@yahoo.com,Test123456,user
aïcha.kouassi,aïcha.kouassi@yahoo.com,Test123456,user
hervé.adekunle,hervé.adekunle@example.com,Test123456,user
anne.tcham,anne.tcham@example.com,Test123456,user
wilfried.oumar,wilfried.oumar@gmail.com,Test123456,user
ornella.lamine,ornella.lamine@school.test,Test123456,user
firmin.hounkpati,firmin.hounkpati@gmail.com,Test123456,user
noëlla.zanou,noëlla.zanou@school.test,Test123456,user
naomi.akakpo,naomi.akakpo@yahoo.com,Test123456,user
isabelle.moyo,isabelle.moyo@gmail.com,Test123456,user
akofa.fofana,akofa.fofana@gmail.com,Test123456,user
clarisse.kibaki,clarisse.kibaki@gmail.com,Test123456,user
mariam.sylla,mariam.sylla@example.com,Test123456,user
karim.nwankwo,karim.nwankwo@school.test,Test123456,user
carine.nwankwo,carine.nwankwo@yahoo.com,Test123456,user
roméo.souleyman,roméo.souleyman@gmail.com,Test123456,user
ornella.fofana1,ornella.fofana1@gmail.com,Test123456,user
samuel.ndiaye1,samuel.ndiaye1@school.test,Test123456,user
cyrille.adesina,cyrille.adesina@example.com,Test123456,user
franck.tamba,franck.tamba@yahoo.com,Test123456,user
anne.kanzi,anne.kanzi@gmail.com,Test123456,user
fati.yao,fati.yao@example.com,Test123456,user
brice.avo1,brice.avo1@example.com,Test123456,user
yves.akindo,yves.akindo@example.com,Test123456,user
awa.kougnin,awa.kougnin@example.com,Test123456,user
serge.soglo,serge.soglo@yahoo.com,Test123456,user
paola.kpodar,paola.kpodar@example.com,Test123456,user
kossi.nwachukwu,kossi.nwachukwu@example.com,Test123456,user
thérèse.kougnin,thérèse.kougnin@school.test,Test123456,user
firmin.tchao,firmin.tchao@yahoo.com,Test123456,user
alassane.gnonlonfoun,alassane.gnonlonfoun@school.test,Test123456,user
ghislain.mbaye,ghislain.mbaye@school.test,Test123456,user
cynthia.niang,cynthia.niang@school.test,Test123456,user
khadija.traore,khadija.traore@yahoo.com,Test123456,user
désirée.atcholi,désirée.atcholi@yahoo.com,Test123456,user
serge.akpan,serge.akpan@yahoo.com,Test123456,user
parent.koulibaly4,parent.koulibaly4@school.test,Test123456,user
parent.mamadou2,parent.mamadou2@school.test,Test123456,user
parent.jalloh1,parent.jalloh1@example.com,Test123456,user
parent.bankole3,parent.bankole3@example.com,Test123456,user
parent.sarr3,parent.sarr3@yahoo.com,Test123456,user
parent.adeyinka2,parent.adeyinka2@yahoo.com,Test123456,user
parent.tchao2,parent.tchao2@gmail.com,Test123456,user
parent.yao1,parent.yao1@example.com,Test123456,user
parent.gnandi1,parent.gnandi1@school.test,Test123456,user
teacher.allemand.1,teacher.allemand.1@school.test,Test123456,user
teacher.ecofam.8,teacher.ecofam.8@example.com,Test123456,user
